n,design,distr,effectX1,effectX2,effectX1X2,X1,X2,X1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2
16,4x3,likert5B,0,0,0,0.04,0.0112,0.0186,0.0197,0.0068,0.0404,0.0161,0.007,0.0416,0.0031,0.025,0.0835,0.0228,0.0114,0.0424
16,4x3,likert5B,0,0,0,0.0097,0.0056,0.0342,0.0038,0.0068,0.043,0.0069,0.0092,0.0448,0.0104,0.0027,0.0327,0.0022,0.0088,0.0278
16,4x3,likert5B,0,0,0,0.0232,0.0167,0.0164,0.0131,0.0026,0.0291,0.007,0.0025,0.0142,0.0605,0.0146,0.0207,0.0066,0.0031,0.0189
16,4x3,likert5B,0,0,0,0.0063,0.009,0.0303,0.0165,0.0143,0.0206,0.012,0.0254,0.0179,0.021,0.0215,0.0154,0.0148,0.018,0.0176
16,4x3,likert5B,0,0,0,0.0014,0.013,0.0383,0.0226,0.005,0.0137,0.0077,0.0123,0.0361,0.0176,0.0049,0.0542,0.0138,0.0092,0.0273
16,4x3,likert5B,0,0,0,0.0424,0.0156,0.0469,0.0241,0.0066,0.0227,0.0269,0.0063,0.0255,0.0109,0.0229,0.0303,0.0269,0.0058,0.0262
16,4x3,likert5B,0,0,0,0.0235,0.0192,0.0347,0.0048,0.009,0.0107,0.0068,0.007,0.0097,0.0151,0.0137,0.0088,0.0077,0.0069,0.0099
16,4x3,likert5B,0,0,0,0.0193,0.0277,0.0794,0.003,0.0276,0.0792,0.0024,0.0328,0.0509,0.0105,0.0268,0.0536,0.0025,0.0338,0.0618
16,4x3,likert5B,0,0,0,0.0128,0.0135,0.0401,0.0083,0.0159,0.0414,0.0064,0.016,0.0361,0.0017,0.0341,0.0476,0.0071,0.0161,0.0408
16,4x3,likert5B,0,0,0,0.0149,0.0209,0.0318,0.0091,0.0052,0.0306,0.0097,0.0062,0.032,0.0159,0.0072,0.0393,0.0093,0.0069,0.0378
16,4x3,likert5B,0,0,0,0.0092,0.0013,0.0127,0.0155,0.0003,0.0114,0.0219,0.0007,0.0058,0.0313,0.0037,0.0168,0.0228,0.0003,0.0085
16,4x3,likert5B,0,0,0,0.0522,0.0007,0.0077,0.026,0.0116,0.0146,0.0225,0.016,0.0151,0.0477,0.0237,0.021,0.0225,0.0105,0.0133
16,4x3,likert5B,0,0,0,0.0085,0.0149,0.0253,0.017,0.0105,0.022,0.0182,0.0098,0.0242,0.0157,0.0234,0.0282,0.0185,0.0102,0.0247
16,4x3,likert5B,0,0,0,0.0178,0.0022,0.0087,0.0164,0.0126,0.019,0.0123,0.0125,0.0223,0.028,0.0153,0.1153,0.0092,0.0086,0.0182
16,4x3,likert5B,0,0,0,0.0034,0.0019,0.0418,0.0092,0.0022,0.019,0.0111,0.0027,0.0197,0.0147,0.008,0.0393,0.0087,0.0017,0.018
16,4x3,likert5B,0,0,0,0.0147,0.0168,0.0448,0.0133,0.0038,0.037,0.014,0.0042,0.0453,0.0525,0.0028,0.0115,0.0092,0.0084,0.0502
16,4x3,likert5B,0,0,0,0.0228,0.0128,0.0369,0.0323,0.0075,0.0526,0.0265,0.012,0.0397,0.0199,0.0171,0.0678,0.028,0.011,0.042
16,4x3,likert5B,0,0,0,0.0366,0.0025,0.034,0.0409,0.0143,0.0304,0.0329,0.0122,0.0378,0.0208,0.0414,0.0682,0.0309,0.0102,0.0343
