n,design,family,missingratio,sdratio,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,0.2,1,INT,0.01,2,0,0,1,0.0114,0.0104
20,4x3,norm,0.3,1,PAR,0.05,2,0,0,1,0.0476,0.0506
20,4x3,norm,0.3,1,RNK,0.05,2,0,0,1,0.049,0.0512
20,4x3,norm,0.3,1,ART,0.05,2,0,0,1,0.0768,0.0464
20,4x3,norm,0.3,1,INT,0.05,2,0,0,1,0.0476,0.05
20,4x3,norm,0.3,1,PAR,0.01,2,0,0,1,0.0078,0.0084
20,4x3,norm,0.3,1,RNK,0.01,2,0,0,1,0.008,0.0106
20,4x3,norm,0.3,1,ART,0.01,2,0,0,1,0.0164,0.0088
20,4x3,norm,0.3,1,INT,0.01,2,0,0,1,0.0082,0.008
20,4x3,norm,0.1,2,PAR,0.05,2,0,0,1,0.0522,0.065
20,4x3,norm,0.1,2,RNK,0.05,2,0,0,1,0.049,0.0628
20,4x3,norm,0.1,2,ART,0.05,2,0,0,1,0.0752,0.067
20,4x3,norm,0.1,2,INT,0.05,2,0,0,1,0.0504,0.0628
20,4x3,norm,0.1,2,PAR,0.01,2,0,0,1,0.01,0.0176
20,4x3,norm,0.1,2,RNK,0.01,2,0,0,1,0.0098,0.016
20,4x3,norm,0.1,2,ART,0.01,2,0,0,1,0.017,0.0194
20,4x3,norm,0.1,2,INT,0.01,2,0,0,1,0.0106,0.0162
20,4x3,norm,0.2,2,PAR,0.05,2,0,0,1,0.0552,0.0594
20,4x3,norm,0.2,2,RNK,0.05,2,0,0,1,0.0568,0.053
20,4x3,norm,0.2,2,ART,0.05,2,0,0,1,0.0916,0.059
20,4x3,norm,0.2,2,INT,0.05,2,0,0,1,0.0554,0.053
20,4x3,norm,0.2,2,PAR,0.01,2,0,0,1,0.012,0.0144
20,4x3,norm,0.2,2,RNK,0.01,2,0,0,1,0.0108,0.0104
20,4x3,norm,0.2,2,ART,0.01,2,0,0,1,0.0282,0.0144
20,4x3,norm,0.2,2,INT,0.01,2,0,0,1,0.0116,0.0116
20,4x3,norm,0.3,2,PAR,0.05,2,0,0,1,0.0484,0.0594
20,4x3,norm,0.3,2,RNK,0.05,2,0,0,1,0.046,0.0544
20,4x3,norm,0.3,2,ART,0.05,2,0,0,1,0.0906,0.061
20,4x3,norm,0.3,2,INT,0.05,2,0,0,1,0.0498,0.056
20,4x3,norm,0.3,2,PAR,0.01,2,0,0,1,0.0104,0.0148
20,4x3,norm,0.3,2,RNK,0.01,2,0,0,1,0.0108,0.0126
