n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,3.1069,-2.6862,0,1.3497,1.1359,0.2636,1.3224,1.1359,0.3508,1.2648,1.2053,0.2822,1.2975,1.1013,0.2607,1.3497,1.1359,0.2636
20,4x3,norm,-1.1806,0.3396,0,0.6356,0.2437,0.1338,0.6112,0.2214,0.129,0.6239,0.2481,0.1425,0.6353,0.2429,0.1311,0.6356,0.2437,0.1338
20,4x3,norm,0.2632,-0.8388,0,0.1733,0.3441,0.1675,0.1747,0.3293,0.1923,0.1753,0.3349,0.1834,0.1738,0.339,0.1612,0.1733,0.3441,0.1675
20,4x3,norm,-1.1007,0.9556,0,0.7166,0.5432,0.3013,0.6717,0.4827,0.2702,0.7204,0.52,0.2839,0.7164,0.5377,0.303,0.7166,0.5432,0.3013
20,4x3,norm,-0.4546,1.7896,0,0.1328,0.8425,0.2201,0.1246,0.8755,0.2362,0.1399,0.8794,0.2366,0.1354,0.8139,0.2143,0.1328,0.8425,0.2201
20,4x3,norm,2.0755,3.4072,0,0.7808,1.4921,0.1606,0.7415,1.4728,0.1805,0.8029,1.413,0.1188,0.779,1.4022,0.1961,0.7808,1.4921,0.1606
20,4x3,norm,-1.257,3.4676,0,0.4986,1.4614,0.1806,0.506,1.4005,0.2104,0.5031,1.3395,0.208,0.4731,1.2537,0.152,0.4986,1.4614,0.1806
20,4x3,norm,1.5254,-2.8681,0,0.5785,1.1797,0.1512,0.5574,1.2211,0.1239,0.5903,1.2395,0.1296,0.5684,1.1347,0.1705,0.5785,1.1797,0.1512
20,4x3,norm,0.6712,-1.144,0,0.2247,0.5983,0.1667,0.2409,0.6186,0.1617,0.2193,0.6136,0.167,0.2253,0.5977,0.1653,0.2247,0.5983,0.1667
20,4x3,norm,-2.529,-2.388,0,1.0207,1.1607,0.1233,0.9565,1.1519,0.1967,0.9703,1.1614,0.1291,0.9599,1.0842,0.1154,1.0207,1.1607,0.1233
20,4x3,norm,-2.5707,3.3849,0,1.206,1.533,0.2382,1.1352,1.4602,0.2003,1.2485,1.5321,0.248,1.1421,1.4282,0.2041,1.206,1.533,0.2382
20,4x3,norm,-2.3906,3.4192,0,1.1893,1.3761,0.1956,1.2092,1.4043,0.2509,1.2631,1.4395,0.1951,1.1512,1.3096,0.1977,1.1893,1.3761,0.1956
20,4x3,norm,3.4774,-1.509,0,1.3323,0.4758,0.2672,1.2883,0.387,0.195,1.2514,0.4669,0.2746,1.2632,0.4767,0.24,1.3323,0.4758,0.2672
20,4x3,norm,-2.7339,0.7847,0,1.0383,0.3729,0.1303,0.9602,0.3459,0.1174,0.9793,0.3682,0.1369,0.9628,0.3507,0.1155,1.0383,0.3729,0.1303
20,4x3,norm,2.9633,3.354,0,1.3664,1.7655,0.1068,1.2138,1.6118,0.2056,1.2196,1.4696,0.1021,1.273,1.572,0.1182,1.3664,1.7655,0.1068
20,4x3,norm,2.8465,3.7044,0,1.1404,1.5698,0.2317,1.1499,1.6252,0.3453,1.1387,1.6754,0.2194,1.1166,1.5245,0.2249,1.1404,1.5698,0.2317
20,4x3,norm,-2.634,-3.8983,0,1.1346,1.7425,0.1102,1.0686,1.7015,0.2734,1.0305,1.597,0.1125,1.0134,1.5064,0.1172,1.1346,1.7425,0.1102
20,4x3,norm,0.696,0.4799,0,0.3442,0.2586,0.1348,0.3455,0.2108,0.114,0.3554,0.2259,0.1184,0.3382,0.2472,0.1285,0.3442,0.2586,0.1348
20,4x3,norm,-3.2302,2.7962,0,1.2619,1.2396,0.106,1.2441,1.2626,0.2821,1.2324,1.1929,0.1113,1.1946,1.155,0.1455,1.2619,1.2396,0.106
20,4x3,norm,-1.8533,-3.3444,0,0.7601,1.3631,0.0886,0.7616,1.4224,0.1455,0.7744,1.4486,0.1211,0.7643,1.3363,0.1117,0.7601,1.3631,0.0886
20,4x3,norm,-2.7173,1.8724,0,1.3255,0.9211,0.1997,1.3623,0.9692,0.2834,1.3198,1.0054,0.2085,1.2566,0.9035,0.2052,1.3255,0.9211,0.1997
20,4x3,norm,3.9646,-1.4181,0,1.8091,0.7698,0.1823,1.8406,0.7428,0.2637,1.7774,0.7783,0.1724,1.693,0.7716,0.2079,1.8091,0.7698,0.1823
20,4x3,norm,3.6062,2.7059,0,1.5269,1.1831,0.1123,1.5291,1.1476,0.2008,1.5681,1.2453,0.0975,1.4879,1.1595,0.1341,1.5269,1.1831,0.1123
20,4x3,norm,-0.479,1.9879,0,0.2522,0.8518,0.1329,0.2204,0.8597,0.1352,0.2639,0.8644,0.1235,0.2535,0.8425,0.1383,0.2522,0.8518,0.1329
20,4x3,norm,3.9373,1.5447,0,2.0365,0.8036,0.0704,2.0747,0.8224,0.0417,1.8985,0.8316,0.0547,1.7196,0.8065,0.1514,2.0365,0.8036,0.0704
20,4x3,norm,-1.7661,-1.0194,0,0.6218,0.5298,0.2501,0.6196,0.5242,0.2648,0.6063,0.5407,0.2481,0.6307,0.5302,0.2472,0.6218,0.5298,0.2501
20,4x3,norm,-3.2926,-0.1959,0,1.5381,0.0856,0.1284,1.553,0.0877,0.1329,1.5357,0.1025,0.1571,1.3677,0.114,0.169,1.5381,0.0856,0.1284
20,4x3,norm,-3.6908,-1.727,0,1.6312,1.0539,0.2022,1.4768,0.9921,0.1876,1.4269,1.0307,0.2157,1.471,1.0229,0.1653,1.6312,1.0539,0.2022
20,4x3,norm,1.768,-2.0699,0,0.6393,0.8603,0.1186,0.6705,0.8812,0.1668,0.6524,0.874,0.1026,0.6456,0.8589,0.1136,0.6393,0.8603,0.1186
20,4x3,norm,3.0284,-0.7246,0,1.321,0.4568,0.1555,1.2929,0.4239,0.2052,1.2715,0.4442,0.1715,1.2508,0.4792,0.1866,1.321,0.4568,0.1555
20,4x3,norm,2.6174,-0.2175,0,0.9496,0.056,0.1894,0.9394,0.0449,0.203,0.9384,0.0418,0.2014,0.9336,0.0661,0.1962,0.9496,0.056,0.1894
20,4x3,norm,3.7953,3.3026,0,1.7375,1.6047,0.2103,1.7965,1.672,0.2935,1.7742,1.7153,0.206,1.7055,1.5911,0.208,1.7375,1.6047,0.2103
20,4x3,norm,-1.7427,2.4399,0,0.7058,1.1657,0.2362,0.712,1.2116,0.2833,0.7266,1.1546,0.2072,0.6871,1.1168,0.2247,0.7058,1.1657,0.2362
20,4x3,norm,3.0802,0.2517,0,1.3546,0.1393,0.2631,1.4139,0.1517,0.2705,1.3874,0.1303,0.2563,1.2645,0.1402,0.2607,1.3546,0.1393,0.2631
