n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,-2.3914,1.6868,2.7564,0.9453,0.7511,0.443,0.7953,0.7043,0.3899,0.949,0.7531,0.4439,0.8639,0.7159,0.379,0.9453,0.7511,0.443
20,4x3,norm,2.9322,-2.1687,-0.105,1.4579,1.1591,0.1598,1.4528,1.102,0.181,1.5092,1.1435,0.1815,1.4175,1.1428,0.1491,1.4579,1.1591,0.1598
20,4x3,norm,-1.1922,-2.0636,1.8671,0.4837,1.0801,0.3185,0.5107,1.1377,0.336,0.4697,1.068,0.2961,0.4707,1.0695,0.3065,0.4837,1.0801,0.3185
20,4x3,norm,-1.3465,2.6229,0.971,0.4557,0.9581,0.2466,0.4531,0.9958,0.2803,0.4468,0.9824,0.2527,0.4325,0.93,0.2231,0.4557,0.9581,0.2466
20,4x3,norm,-0.8381,1.1984,-2.1878,0.246,0.5504,0.408,0.2286,0.4951,0.3298,0.2458,0.5438,0.4097,0.2151,0.5257,0.3745,0.246,0.5504,0.408
20,4x3,norm,-2.7075,3.4456,-1.105,1.0073,1.4521,0.1867,0.9339,1.3509,0.0977,0.9871,1.4505,0.1756,1.0007,1.3689,0.1557,1.0073,1.4521,0.1867
20,4x3,norm,3.6938,-2.1382,-2.6713,1.4136,0.9308,0.4116,1.499,0.938,0.4538,1.3513,0.9657,0.4082,1.3976,0.8966,0.3691,1.4136,0.9308,0.4116
20,4x3,norm,1.1402,2.9551,0.9418,0.5363,1.3964,0.2487,0.4722,1.2469,0.1388,0.5479,1.3115,0.2829,0.4845,1.1909,0.1555,0.5363,1.3964,0.2487
20,4x3,norm,3.1665,-0.6403,1.2408,1.4409,0.3385,0.2951,1.3181,0.3612,0.3051,1.2645,0.3353,0.2795,1.3107,0.3719,0.3132,1.4409,0.3385,0.2951
20,4x3,norm,0.5686,1.7433,3.7452,0.3047,0.8636,0.8703,0.2055,0.7097,0.7134,0.3045,0.9007,0.883,0.2418,0.7589,0.7657,0.3047,0.8636,0.8703
20,4x3,norm,-0.514,-2.267,-0.6895,0.21,0.8451,0.2235,0.2504,0.835,0.166,0.2327,0.8621,0.2281,0.2261,0.8332,0.2191,0.21,0.8451,0.2235
20,4x3,norm,0.3792,-3.8754,-2.3058,0.1149,1.8298,0.533,0.0666,1.5273,0.4187,0.1079,1.6023,0.48,0.0812,1.413,0.4425,0.1149,1.8298,0.533
20,4x3,norm,-2.5336,2.8094,3.7573,1.3267,1.2368,0.8574,1.1012,0.9177,0.5079,1.3712,1.2856,0.8592,1.0522,0.9387,0.5066,1.3267,1.2368,0.8574
20,4x3,norm,-3.126,-3.303,-0.6511,1.1671,1.4935,0.2177,1.2006,1.5767,0.2862,1.2199,1.547,0.1947,1.1331,1.4503,0.1969,1.1671,1.4935,0.2177
20,4x3,norm,1.9349,3.026,-0.0382,0.7129,1.2762,0.1569,0.6506,1.2963,0.072,0.7029,1.3316,0.1387,0.7212,1.2785,0.1628,0.7129,1.2762,0.1569
20,4x3,norm,-2.9041,2.9929,-2.8379,1.4299,1.4652,0.5917,1.2901,1.4454,0.4744,1.5403,1.3757,0.6072,1.136,1.2699,0.3681,1.4299,1.4652,0.5917
