n,design,family,effectX1,effectX2,effectX1X2,parX1,parX2,parX1X2,rnkX1,rnkX2,rnkX1X2,artX1,artX2,artX1X2,intX1,intX2,intX1X2,grtX1,grtX2,grtX1X2
20,4x3,norm,3.6912,3.5103,0,2.027,1.7859,0.2179,1.9849,1.6791,0.2362,1.9277,1.7677,0.2302,1.8007,1.6035,0.1837,2.027,1.7859,0.2179
20,4x3,norm,1.3629,-0.0456,0,0.4965,0.0559,0.1607,0.4733,0.0559,0.1485,0.4713,0.081,0.1561,0.4835,0.0491,0.1619,0.4965,0.0559,0.1607
20,4x3,norm,-0.2903,-4.1709,0,0.1723,1.9699,0.1875,0.1821,1.9181,0.216,0.178,1.9294,0.1909,0.1342,1.6528,0.1616,0.1723,1.9699,0.1875
20,4x3,norm,5.6045,5.4789,0,2.3717,2.2919,0.1252,2.4652,2.3345,0.4053,2.2358,2.4597,0.1195,2.1344,2.083,0.1022,2.3717,2.2919,0.1252
20,4x3,norm,4.5401,3.8483,0,1.8813,1.7548,0.128,1.9187,1.7979,0.3162,1.972,1.7973,0.1515,1.8076,1.6796,0.1421,1.8813,1.7548,0.128
20,4x3,norm,-3.9686,-7.5703,0,1.5081,3.4643,0.1815,1.5188,3.2014,0.4366,1.5173,2.3747,0.1887,1.3719,2.5073,0.2874,1.5081,3.4643,0.1815
20,4x3,norm,6.7699,-0.1202,0,2.5721,0.0828,0.2026,2.5103,0.0829,0.2097,2.5065,0.0737,0.2211,2.0781,0.1036,0.2098,2.5721,0.0828,0.2026
20,4x3,norm,2.0685,6.4812,0,0.8604,3.0857,0.0954,0.7853,2.2424,0.239,0.8207,1.945,0.1076,0.7657,1.917,0.1275,0.8604,3.0857,0.0954
20,4x3,norm,-7.0594,6.8453,0,2.898,3.2278,0.1165,2.4975,2.9138,0.5769,2.1623,2.5079,0.1306,2.2176,2.4724,0.2568,2.898,3.2278,0.1165
20,4x3,norm,-1.9984,-5.3119,0,1.0425,2.3141,0.1566,1.015,2.3649,0.2172,1.0856,2.2685,0.1746,0.9599,2.014,0.1094,1.0425,2.3141,0.1566
20,4x3,norm,-4.7424,2.1074,0,2.1063,1.0121,0.2603,1.7771,0.9619,0.37,1.5119,1.0581,0.2489,1.6946,0.976,0.2675,2.1063,1.0121,0.2603
20,4x3,norm,0.3952,4.0742,0,0.1896,1.8437,0.1091,0.1611,1.8895,0.1118,0.1656,1.8916,0.1122,0.1883,1.6017,0.121,0.1896,1.8437,0.1091
20,2x3,norm,2.7716,-2.6069,0,1.473,1.0958,0.1165,1.5297,1.1006,0.18,1.5435,1.1063,0.1132,1.3629,1.0557,0.0857,1.473,1.0958,0.1165
20,2x3,norm,4.7476,4.4381,0,2.4547,1.9461,0.2957,2.0282,1.3969,0.1614,1.7335,1.4963,0.2797,1.7061,1.287,0.0462,2.4547,1.9461,0.2957
20,2x3,norm,-0.8042,7.6605,0,0.1435,3.2281,0.1342,0.1663,2.7707,0.134,0.1585,2.7335,0.152,0.1427,2.009,0.208,0.1435,3.2281,0.1342
20,2x3,norm,-7.6679,-2.162,0,3.6877,0.7136,0.255,2.1099,0.6701,0.1856,1.7327,0.7054,0.2547,1.5997,0.6358,0.1758,3.6877,0.7136,0.255
20,2x3,norm,-5.3503,-0.4998,0,2.5341,0.3769,0.0713,1.8547,0.3721,0.0888,1.7342,0.3702,0.0756,1.4163,0.3405,0.0949,2.5341,0.3769,0.0713
20,2x3,norm,7.9657,-5.615,0,3.5908,2.1284,0.0378,3.0398,1.5446,0.0163,1.7327,1.5765,0.0453,2.1503,1.3093,0.1451,3.5908,2.1284,0.0378
