n,design,family,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
20,2x3,lnorm,RNK,0.01,1,1,0,0,0.9912,0.9148,0.0074,0,0,0,0
20,2x3,lnorm,ART,0.01,1,1,0,0,0.9814,0.8938,0.293,0,0,0,0
20,2x3,lnorm,INT,0.01,1,1,0,0,0.9938,0.9262,0.008,0,0,0,0
20,2x3,lnorm,PAR,0.05,2,2,0,0,0.9954,0.9768,0.8478,0,0,0,0
20,2x3,lnorm,RNK,0.05,2,2,0,0,1,1,0.0612,0,0,0,0
20,2x3,lnorm,ART,0.05,2,2,0,0,0.9998,1,0.9976,0,0,0,0
20,2x3,lnorm,INT,0.05,2,2,0,0,1,1,0.0286,0,0,0,0
20,2x3,lnorm,PAR,0.01,2,2,0,0,0.9706,0.9052,0.6176,0,0,0,0
20,2x3,lnorm,RNK,0.01,2,2,0,0,1,1,0.0116,0,0,0,0
20,2x3,lnorm,ART,0.01,2,2,0,0,0.9998,0.9996,0.9834,0,0,0,0
20,2x3,lnorm,INT,0.01,2,2,0,0,1,1,0.0048,0,0,0,0
20,2x3,lnorm,PAR,0.05,4,4,0,0,0.9918,0.9878,0.984,0,0,0,0
20,2x3,lnorm,RNK,0.05,4,4,0,0,1,1,0.139,0,0,0,0
20,2x3,lnorm,ART,0.05,4,4,0,0,1,1,1,0,0,0,0
20,2x3,lnorm,INT,0.05,4,4,0,0,1,1,0.0132,0,0,0,0
20,2x3,lnorm,PAR,0.01,4,4,0,0,0.9624,0.9454,0.937,0,0,0,0
20,2x3,lnorm,RNK,0.01,4,4,0,0,1,1,0.0358,0,0,0,0
20,2x3,lnorm,ART,0.01,4,4,0,0,1,0.9998,1,0,0,0,0
20,2x3,lnorm,INT,0.01,4,4,0,0,1,1,0.0014,0,0,0,0
20,2x3,lnorm,PAR,0.05,8,8,0,0,0.9894,0.9924,0.9924,0,0,0,0
20,2x3,lnorm,RNK,0.05,8,8,0,0,1,1,0.4316,0,0,0,0
20,2x3,lnorm,ART,0.05,8,8,0,0,1,1,1,0,0,0,0
20,2x3,lnorm,INT,0.05,8,8,0,0,1,1,0.0064,0,0,0,0
20,2x3,lnorm,PAR,0.01,8,8,0,0,0.9514,0.964,0.964,0,0,0,0
20,2x3,lnorm,RNK,0.01,8,8,0,0,1,1,0.1796,0,0,0,0
20,2x3,lnorm,ART,0.01,8,8,0,0,1,0.9998,1,0,0,0,0
20,2x3,lnorm,INT,0.01,8,8,0,0,1,1,6e-04,0,0,0,0
20,2x3,lnorm,PAR,0.05,0.5,0,0,0,0.5144,0.0354,0.0334,0,0,0,0
20,2x3,lnorm,RNK,0.05,0.5,0,0,0,0.7062,0.048,0.0464,0,0,0,0
20,2x3,lnorm,ART,0.05,0.5,0,0,0,0.6714,0.0708,0.077,0,0,0,0
20,2x3,lnorm,INT,0.05,0.5,0,0,0,0.7194,0.0468,0.0432,0,0,0,0
20,2x3,lnorm,PAR,0.01,0.5,0,0,0,0.254,0.006,0.0042,0,0,0,0
20,2x3,lnorm,RNK,0.01,0.5,0,0,0,0.4626,0.0102,0.0092,0,0,0,0
20,2x3,lnorm,ART,0.01,0.5,0,0,0,0.4372,0.015,0.0188,0,0,0,0
20,2x3,lnorm,INT,0.01,0.5,0,0,0,0.4802,0.009,0.0086,0,0,0,0
20,2x3,lnorm,PAR,0.05,1,0,0,0,0.966,0.036,0.04,0,0,0,0
20,2x3,lnorm,RNK,0.05,1,0,0,0,0.9996,0.0568,0.0494,0,0,0,0
20,2x3,lnorm,ART,0.05,1,0,0,0,0.9984,0.1602,0.1594,0,0,0,0
20,2x3,lnorm,INT,0.05,1,0,0,0,0.9994,0.0582,0.0518,0,0,0,0
20,2x3,lnorm,PAR,0.01,1,0,0,0,0.8692,0.007,0.0056,0,0,0,0
20,2x3,lnorm,RNK,0.01,1,0,0,0,0.9934,0.011,0.0104,0,0,0,0
20,2x3,lnorm,ART,0.01,1,0,0,0,0.984,0.0506,0.0532,0,0,0,0
20,2x3,lnorm,INT,0.01,1,0,0,0,0.995,0.0112,0.009,0,0,0,0
20,2x3,lnorm,PAR,0.05,2,0,0,0,0.9984,0.035,0.035,0,0,0,0
20,2x3,lnorm,RNK,0.05,2,0,0,0,1,0.0486,0.0516,0,0,0,0
20,2x3,lnorm,ART,0.05,2,0,0,0,1,0.4156,0.4228,0,0,0,0
20,2x3,lnorm,INT,0.05,2,0,0,0,1,0.0454,0.0514,0,0,0,0
20,2x3,lnorm,PAR,0.01,2,0,0,0,0.9924,0.0056,0.0058,0,0,0,0
20,2x3,lnorm,RNK,0.01,2,0,0,0,1,0.0096,0.0102,0,0,0,0
20,2x3,lnorm,ART,0.01,2,0,0,0,1,0.1884,0.1956,0,0,0,0
20,2x3,lnorm,INT,0.01,2,0,0,0,1,0.009,0.0096,0,0,0,0
20,2x3,lnorm,PAR,0.05,4,0,0,0,0.9994,0.039,0.0396,0,0,0,0
20,2x3,lnorm,RNK,0.05,4,0,0,0,1,0.0472,0.0492,0,0,0,0
20,2x3,lnorm,ART,0.05,4,0,0,0,1,0.8062,0.8126,0,0,0,0
20,2x3,lnorm,INT,0.05,4,0,0,0,1,0.0478,0.0452,0,0,0,0
20,2x3,lnorm,PAR,0.01,4,0,0,0,0.9966,0.0072,0.007,0,0,0,0
20,2x3,lnorm,RNK,0.01,4,0,0,0,1,0.0122,0.0088,0,0,0,0
20,2x3,lnorm,ART,0.01,4,0,0,0,1,0.5194,0.5288,0,0,0,0
20,2x3,lnorm,INT,0.01,4,0,0,0,1,0.0106,0.0092,0,0,0,0
20,2x3,lnorm,PAR,0.05,8,0,0,0,0.9996,0.0374,0.0374,0,0,0,0
20,2x3,lnorm,RNK,0.05,8,0,0,0,1,0.0516,0.0476,0,0,0,0
20,2x3,lnorm,ART,0.05,8,0,0,0,1,0.88,0.88,0,0,0,0
20,2x3,lnorm,INT,0.05,8,0,0,0,1,0.0496,0.0434,0,0,0,0
20,2x3,lnorm,PAR,0.01,8,0,0,0,0.997,0.0046,0.0046,0,0,0,0
20,2x3,lnorm,RNK,0.01,8,0,0,0,1,0.0094,0.0092,0,0,0,0
20,2x3,lnorm,ART,0.01,8,0,0,0,1,0.597,0.6012,0,0,0,0
20,2x3,lnorm,INT,0.01,8,0,0,0,1,0.0098,0.007,0,0,0,0
20,2x3,exp,PAR,0.05,0,0,0,0,0.0528,0.0494,0.0528,0,0,0,0
20,2x3,exp,RNK,0.05,0,0,0,0,0.0506,0.0444,0.0524,0,0,0,0
20,2x3,exp,ART,0.05,0,0,0,0,0.056,0.05,0.0516,0,0,0,0
20,2x3,exp,INT,0.05,0,0,0,0,0.0502,0.0474,0.0516,0,0,0,0
20,2x3,exp,PAR,0.01,0,0,0,0,0.0098,0.0076,0.0086,0,0,0,0
20,2x3,exp,RNK,0.01,0,0,0,0,0.0106,0.0096,0.0106,0,0,0,0
20,2x3,exp,ART,0.01,0,0,0,0,0.0108,0.0098,0.0106,0,0,0,0
20,2x3,exp,INT,0.01,0,0,0,0,0.0106,0.01,0.0102,0,0,0,0
20,2x3,exp,PAR,0.05,0.5,0.5,0,0,0.6514,0.4008,0.0596,0,0,0,0
20,2x3,exp,RNK,0.05,0.5,0.5,0,0,0.5964,0.3718,0.0526,0,0,0,0
20,2x3,exp,ART,0.05,0.5,0.5,0,0,0.6316,0.4304,0.109,0,0,0,0
20,2x3,exp,INT,0.05,0.5,0.5,0,0,0.6092,0.3792,0.0542,0,0,0,0
20,2x3,exp,PAR,0.01,0.5,0.5,0,0,0.3818,0.1756,0.012,0,0,0,0
20,2x3,exp,RNK,0.01,0.5,0.5,0,0,0.352,0.175,0.0142,0,0,0,0
20,2x3,exp,ART,0.01,0.5,0.5,0,0,0.4058,0.2124,0.0348,0,0,0,0
20,2x3,exp,INT,0.01,0.5,0.5,0,0,0.3638,0.183,0.014,0,0,0,0
20,2x3,exp,PAR,0.05,1,1,0,0,0.9918,0.9106,0.239,0,0,0,0
20,2x3,exp,RNK,0.05,1,1,0,0,0.992,0.9184,0.0488,0,0,0,0
20,2x3,exp,ART,0.05,1,1,0,0,0.9922,0.9544,0.4778,0,0,0,0
20,2x3,exp,INT,0.05,1,1,0,0,0.9934,0.924,0.0494,0,0,0,0
20,2x3,exp,PAR,0.01,1,1,0,0,0.9476,0.7222,0.0892,0,0,0,0
20,2x3,exp,RNK,0.01,1,1,0,0,0.9544,0.7906,0.0106,0,0,0,0
20,2x3,exp,ART,0.01,1,1,0,0,0.97,0.8714,0.2844,0,0,0,0
20,2x3,exp,INT,0.01,1,1,0,0,0.9594,0.8004,0.0104,0,0,0,0
20,2x3,exp,PAR,0.05,2,2,0,0,1,0.9988,0.952,0,0,0,0
20,2x3,exp,RNK,0.05,2,2,0,0,1,1,0.0552,0,0,0,0
20,2x3,exp,ART,0.05,2,2,0,0,1,1,0.998,0,0,0,0
20,2x3,exp,INT,0.05,2,2,0,0,1,1,0.0408,0,0,0,0
20,2x3,exp,PAR,0.01,2,2,0,0,0.9958,0.9816,0.7762,0,0,0,0
20,2x3,exp,RNK,0.01,2,2,0,0,1,1,0.0124,0,0,0,0
20,2x3,exp,ART,0.01,2,2,0,0,1,1,0.9896,0,0,0,0
20,2x3,exp,INT,0.01,2,2,0,0,1,1,0.0066,0,0,0,0
20,2x3,exp,PAR,0.05,4,4,0,0,0.9998,0.999,0.9986,0,0,0,0
