n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX2
20,4x3,lnorm,ART,0.01,4,0,0,0.528
20,4x3,lnorm,INT,0.01,4,0,0,0.0091
20,4x3,lnorm,PAR,0.05,8,0,0,0.0445
20,4x3,lnorm,RNK,0.05,8,0,0,0.0489
20,4x3,lnorm,ART,0.05,8,0,0,0.8632
20,4x3,lnorm,INT,0.05,8,0,0,0.0487
20,4x3,lnorm,PAR,0.01,8,0,0,0.0073
20,4x3,lnorm,RNK,0.01,8,0,0,0.0094
20,4x3,lnorm,ART,0.01,8,0,0,0.7767
20,4x3,lnorm,INT,0.01,8,0,0,0.0098
30,4x3,lnorm,PAR,0.05,0,0,0,0.0481
30,4x3,lnorm,RNK,0.05,0,0,0,0.0518
30,4x3,lnorm,ART,0.05,0,0,0,0.0661
30,4x3,lnorm,INT,0.05,0,0,0,0.0523
30,4x3,lnorm,PAR,0.01,0,0,0,0.008
30,4x3,lnorm,RNK,0.01,0,0,0,0.0101
30,4x3,lnorm,ART,0.01,0,0,0,0.0163
30,4x3,lnorm,INT,0.01,0,0,0,0.0107
30,4x3,lnorm,PAR,0.05,0.5,0,0,0.0466
30,4x3,lnorm,RNK,0.05,0.5,0,0,0.0512
30,4x3,lnorm,ART,0.05,0.5,0,0,0.0889
30,4x3,lnorm,INT,0.05,0.5,0,0,0.05
30,4x3,lnorm,PAR,0.01,0.5,0,0,0.0077
30,4x3,lnorm,RNK,0.01,0.5,0,0,0.0104
30,4x3,lnorm,ART,0.01,0.5,0,0,0.0273
30,4x3,lnorm,INT,0.01,0.5,0,0,0.0108
30,4x3,lnorm,PAR,0.05,1,0,0,0.0501
30,4x3,lnorm,RNK,0.05,1,0,0,0.0485
30,4x3,lnorm,ART,0.05,1,0,0,0.1531
30,4x3,lnorm,INT,0.05,1,0,0,0.0506
30,4x3,lnorm,PAR,0.01,1,0,0,0.0081
30,4x3,lnorm,RNK,0.01,1,0,0,0.0104
