;UserID;TrialID;Type;isFoV;SecInFov;TimesInFov;Detected;TimeToDetect;TimeToDetectFromFirst;Manipulation;Size;Distance;Isolated;Complexity;Detection Ratio
316;9;1;AD;False;12.947856790632295;5.0;False;45.1;0.01149316263220677;Manipulation_AD_006;1;1;0;1;16.0
318;9;3;FOV;True;22.595303062329677;1.0;False;45.1;1.1984642522442372;Manipulation_FOV_RE_001;0;0;0;0;16.0
319;9;4;CH;False;9.781424741550957;4.0;False;45.1;15.539208917048976;Manipulation_CH_002;0;0;1;0;16.0
320;9;5;RL;False;17.014358213616504;4.0;False;45.1;11.989939881324167;Manipulation_RL_006;1;1;1;1;16.0
321;9;6;RL;False;13.533857860783364;3.0;False;45.1;0.011802008317625096;Manipulation_RL_000;0;0;1;0;16.0
322;9;7;FOV;True;28.658554405043898;1.0;True;42.9;0.0069848733604803825;Manipulation_FOV_AD_000;1;1;0;1;16.0
323;9;8;RL;False;6.412710997004666;2.0;True;21.4;12.054728968763369;Manipulation_RL_005;0;1;1;1;16.0
324;9;9;RL;False;19.10685674595565;5.0;False;45.1;5.739414863393402;Manipulation_RL_001;0;1;0;0;16.0
326;9;11;AD;False;15.997272310831619;4.0;True;17.5;0.01020280681298363;Manipulation_AD_001;0;1;0;0;16.0
327;9;12;CH;False;12.766465022060773;4.0;False;45.1;0.011680587544291528;Manipulation_CH_004;1;1;0;0;16.0
328;9;13;AD;False;10.022506210270723;6.0;False;45.1;6.235951564610397;Manipulation_AD_002;1;1;0;1;16.0
329;9;14;RE;False;5.312785204991117;2.0;True;7.9;0.009857397504463348;Manipulation_RE_006;1;1;0;0;16.0
330;9;15;FOV;True;20.69473345339517;1.0;False;45.1;0.011362639618557671;Manipulation_FOV_RE_000;0;0;1;0;16.0
331;9;16;AD;False;5.1035487158196435;3.0;False;45.1;38.53853767620922;Manipulation_AD_003;0;1;1;0;16.0
332;9;17;RL;False;19.639235360756892;2.0;False;45.1;0.011592395495196896;Manipulation_RL_004;0;0;1;1;16.0
333;9;18;RE;False;5.3805585940349285;4.0;False;45.1;13.184177422883444;Manipulation_RE_004;0;1;1;1;16.0
336;9;21;RL;False;11.033947618197406;4.0;False;45.1;3.951351833926884;Manipulation_RL_003;0;0;1;1;16.0
337;9;22;RE;False;12.03551536278238;7.0;False;45.1;0.01202735394394586;Manipulation_RE_002;0;0;1;1;16.0
338;9;23;RL;False;8.052334251297212;5.0;False;45.1;19.54553007737121;Manipulation_RL_002;1;1;0;1;16.0
339;9;24;CH;False;4.940686925641849;4.0;True;14.2;8.466724497817811;Manipulation_CH_003;0;1;1;1;16.0
340;9;25;FOV;True;19.314298241565307;1.0;False;45.1;15.917696035445552;Manipulation_FOV_CH_001;1;0;1;0;16.0
342;9;27;FOV;True;25.884139079531646;1.0;True;38.5;0.010880096891320318;Manipulation_FOV_CH_002;1;1;0;1;16.0
343;9;28;FOV;True;15.591581744413967;1.0;False;45.1;6.565396483742482;Manipulation_FOV_AD_001;1;1;1;0;16.0
344;9;29;CH;False;15.105532894736903;6.0;False;45.1;0.012292293233081154;Manipulation_CH_005;1;1;1;1;16.0
345;9;30;CH;False;4.555034651447175;4.0;True;11.7;6.388422339991751;Manipulation_CH_000;0;0;1;0;16.0
346;9;31;RE;False;8.495506057531419;4.0;True;34.1;24.74489663687828;Manipulation_RE_000;0;0;0;0;16.0
347;9;32;RE;False;5.061899542890695;4.0;True;14.3;8.451789676281063;Manipulation_RE_003;0;1;1;0;16.0
348;9;33;AD;False;19.376092811664613;6.0;False;45.1;8.019647292834406;Manipulation_AD_005;1;1;0;0;16.0
349;9;34;AD;False;23.145260306182397;6.0;True;44.4;1.6119354921153608;Manipulation_AD_000;0;0;0;0;16.0
350;10;0;RE;False;8.684187059378504;6.0;True;32.0;5.5503776986552715;Manipulation_RE_004;0;1;1;1;22.0
351;10;1;AD;False;8.237001339115213;8.0;False;45.1;27.210016056244715;Manipulation_AD_006;1;1;0;1;22.0
352;10;2;RL;False;12.411760444404932;2.0;False;45.1;0.011692960000741031;Manipulation_RL_004;0;0;1;1;22.0
353;10;3;RE;False;5.571618449903027;5.0;True;15.8;6.4832571646530415;Manipulation_RE_003;0;1;1;0;22.0
354;10;4;AD;False;10.561814896110887;9.0;False;45.1;0.011875878734405423;Manipulation_AD_002;1;1;0;1;22.0
358;10;8;RL;False;9.690982792232084;6.0;True;16.6;2.2509245894878944;Manipulation_RL_001;0;1;0;0;22.0
359;10;9;CH;False;10.423667184927911;7.0;False;45.1;15.103103978626175;Manipulation_CH_001;0;1;1;0;22.0
360;10;10;AD;False;6.854718516108108;7.0;True;29.9;7.0510214412264585;Manipulation_AD_003;0;1;1;0;22.0
361;10;11;FOV;True;18.7;1.0;True;18.7;0.011230749431606823;Manipulation_FOV_CH_000;0;0;1;1;22.0
362;10;12;CH;False;4.779962192816726;5.0;True;11.0;0.010586011342162563;Manipulation_CH_005;1;1;1;1;22.0
363;10;13;CH;False;10.26010043585351;8.0;False;45.1;0.011965131703530871;Manipulation_CH_004;1;1;0;0;22.0
364;10;14;CH;False;13.148238245467374;12.0;False;45.1;5.872565471891745;Manipulation_CH_002;0;0;1;0;22.0
365;10;15;AD;False;4.3828043704473965;4.0;True;6.9;1.9003121748179184;Manipulation_AD_005;1;1;0;0;22.0
366;10;16;FOV;True;13.333128983603494;1.0;True;16.4;1.6676884153164335;Manipulation_FOV_CH_002;1;1;0;1;22.0
367;10;17;RL;False;7.5821804095184735;6.0;True;25.5;14.762174875484266;Manipulation_RL_000;0;0;1;0;22.0
368;10;18;CH;False;13.463515597089364;14.0;False;45.1;3.2466267416279333;Manipulation_CH_003;0;1;1;1;22.0
369;10;19;FOV;True;40.09003389314145;1.0;False;45.1;3.0361219010624536;Manipulation_FOV_RE_000;0;0;1;0;22.0
371;10;21;RL;False;9.047815658728592;7.0;False;45.1;20.058180572211782;Manipulation_RL_002;1;1;0;1;22.0
372;10;22;RE;False;6.027190915138213;6.0;False;45.1;0.012428965124012505;Manipulation_RE_002;0;0;1;1;22.0
373;10;23;RE;False;4.722181955454951;4.0;True;21.2;15.65350698376742;Manipulation_RE_001;0;1;0;0;22.0
375;10;25;FOV;True;11.94198759955653;1.0;True;15.7;2.710580703699954;Manipulation_FOV_AD_001;1;1;1;0;22.0
376;10;26;RL;False;6.018561584840798;2.0;True;26.1;14.26603502727536;Manipulation_RL_005;0;1;1;1;22.0
377;10;27;RE;False;8.398664334401419;10.0;False;45.1;15.362751566198607;Manipulation_RE_005;1;0;1;1;22.0
378;10;28;FOV;True;41.849808921593215;1.0;False;45.1;1.971746275480624;Manipulation_FOV_AD_000;1;1;0;1;22.0
379;10;29;RE;False;7.368103917654048;6.0;True;32.4;9.564842230807107;Manipulation_RE_000;0;0;0;0;22.0
381;10;31;RL;False;6.638804228000718;7.0;False;45.1;3.5132602110295266;Manipulation_RL_003;0;0;1;1;22.0
382;10;32;AD;False;5.14083791537166;6.0;True;35.5;27.583152043987685;Manipulation_AD_001;0;1;0;0;22.0
383;10;33;FOV;True;8.08356409838731;1.0;True;20.0;11.031112559048765;Manipulation_FOV_CH_001;1;0;1;0;22.0
385;11;0;AD;False;9.040609859586086;5.0;False;45.1;7.812076595828958;Manipulation_AD_006;1;1;0;1;17.0
386;11;1;AD;False;5.989894942055651;4.0;False;45.1;17.048947615437378;Manipulation_AD_003;0;1;1;0;17.0
387;11;2;FOV;True;33.49657764044103;1.0;False;45.1;1.2770966875655567;Manipulation_FOV_AD_000;1;1;0;1;17.0
388;11;3;CH;False;11.24755374779159;4.0;True;27.5;9.188012317823189;Manipulation_CH_005;1;1;1;1;17.0
389;11;4;AD;False;10.37641752190243;6.0;False;45.1;7.464073091364185;Manipulation_AD_002;1;1;0;1;17.0
390;11;5;FOV;True;5.747544488195655;1.0;True;6.2;0.4524555118043454;Manipulation_FOV_CH_001;1;0;1;0;17.0
391;11;6;RE;False;20.49232646693429;6.0;False;45.1;5.633977903528116;Manipulation_RE_000;0;0;0;0;17.0
392;11;7;RL;False;22.46460844154726;5.0;False;45.1;0.010800667439042571;Manipulation_RL_001;0;1;0;0;17.0
393;11;8;CH;False;11.994931290831307;4.0;False;45.1;0.011440264323789051;Manipulation_CH_000;0;0;1;0;17.0
394;11;9;AD;False;10.860696653350411;4.0;False;45.1;4.011731175096116;Manipulation_AD_004;1;0;1;0;17.0
395;11;10;RE;False;14.398901372592551;7.0;False;45.1;7.646049184562072;Manipulation_RE_005;1;0;1;1;17.0
396;11;11;AD;False;20.201517866356443;6.0;True;43.4;4.781055752038025;Manipulation_AD_001;0;1;0;0;17.0
398;11;13;AD;False;14.021357123546872;4.0;False;45.1;7.878447110588991;Manipulation_AD_000;0;0;0;0;17.0
400;11;15;CH;False;11.676339659963215;5.0;False;45.1;0.011894692224376236;Manipulation_CH_001;0;1;1;0;17.0
401;11;16;FOV;True;8.497748654903933;1.0;True;10.8;0.008764916288450853;Manipulation_FOV_AD_001;1;1;1;0;17.0
403;11;18;CH;False;16.34605415806008;5.0;False;45.1;7.344600699848169;Manipulation_CH_006;1;1;0;0;17.0
404;11;19;RE;False;8.048743718592952;4.0;True;21.3;11.141457286432193;Manipulation_RE_004;0;1;1;1;17.0
405;11;20;FOV;True;31.28824253257688;1.0;True;31.3;0.010946607600857056;Manipulation_FOV_RE_001;0;0;0;0;17.0
406;11;21;RE;False;14.957105716840761;8.0;False;45.1;6.402288211378338;Manipulation_RE_003;0;1;1;0;17.0
407;11;22;CH;False;6.8271222807613166;4.0;True;18.3;9.157775322909666;Manipulation_CH_003;0;1;1;1;17.0
408;11;23;RL;False;12.68108418672191;2.0;False;45.1;0.011608538177186037;Manipulation_RL_004;0;0;1;1;17.0
409;11;24;FOV;True;25.75738087304235;1.0;True;27.8;0.011193491058534656;Manipulation_FOV_CH_002;1;1;0;1;17.0
411;11;26;FOV;True;35.375686604140796;1.0;False;45.1;7.446966908511692;Manipulation_FOV_RE_000;0;0;1;0;17.0
412;11;27;RL;False;13.066526457077105;5.0;False;45.1;2.6217460347468142;Manipulation_RL_003;0;0;1;1;17.0
413;11;28;RL;False;6.203243557664771;4.0;False;45.1;19.419229597348217;Manipulation_RL_002;1;1;0;1;17.0
